NEWS_TYPE,BEDROOM_NUMBER,BATH_ROOM_NUMBER,AREA,APARTMENT_TYPE,FURNITURE_TYPE,PRICE,LATITUDE,LONGITUDE
 môi giới ,3.0,2.0,80.0,chung cư tập thể,unk,7.5,21.041730800000003,105.8099499
 cá nhân ,2.0,1.0,48.0,chung cư thường,unk,7.5,21.0086145,105.83409099999999
 cá nhân ,1.0,1.0,40.0,chung cư tập thể,unk,5.0,20.999548,105.860602
 môi giới ,1.0,1.0,30.0,chung cư studio,full,4.5,21.0325939,105.8087418
 môi giới ,1.0,1.0,30.0,chung cư thường,full,4.5,21.0338608,105.8094716
 môi giới ,1.0,1.0,25.0,chung cư mini,cơ bản,3.0,20.988253699999998,105.79883729999999
 môi giới ,1.0,1.0,35.0,chung cư thường,unk,3.5,21.0453719,105.8458327
 môi giới ,1.0,1.0,35.0,chung cư mini,full cao cấp,4.2,21.0462978,105.79942109999999
 môi giới ,2.0,2.0,94.0,chung cư thường,full cao cấp,11.0,21.035113600000003,105.76946650000001
 môi giới ,3.0,2.0,118.0,chung cư thường,full,21.0,20.9972755,105.8671037
 cá nhân ,2.0,1.0,72.0,chung cư thường,full,10.0,21.0089749,105.8345134
 môi giới ,2.0,2.0,65.0,chung cư thường,full,3.0,21.0164183,105.94484409999998
 cá nhân ,4.0,3.0,40.0,chung cư thường,full,8.0,21.0092265,105.7144054
 cá nhân ,2.0,2.0,70.0,chung cư thường,full,6.0,21.000795800000002,105.7333811
 cá nhân ,3.0,2.0,130.0,chung cư thường,full,14.0,10.731846,106.67290290000001
 cá nhân ,3.0,2.0,125.0,chung cư thường,full,12.0,21.0363652,105.7714395
 môi giới ,1.0,1.0,39.5,chung cư studio,full cao cấp,4.5,21.0164183,105.94484409999998
 môi giới ,1.0,1.0,38.0,chung cư mini,full,5.3,20.9995402,105.8207756
 môi giới ,3.0,2.0,91.0,chung cư thường,full cao cấp,16.0,21.0281772,105.7828902
 môi giới ,2.0,1.0,60.0,chung cư mini,cơ bản,8.0,21.0141038,105.85569129999999
 cá nhân ,1.0,1.0,26.0,chung cư mini,full,4.0,21.033915,105.797276
 môi giới ,2.0,1.0,45.0,chung cư thường,full,5.5,20.9599379,105.83375459999999
 môi giới ,1.0,1.0,48.0,chung cư thường,full,8.0,21.0052252,105.736722
 môi giới ,2.0,2.0,68.0,chung cư thường,full,11.0,21.031007000000002,105.75989750000001
 môi giới ,3.0,2.0,106.0,chung cư thường,full cao cấp,14.5,21.025776800000003,105.7917203
 môi giới ,1.0,1.0,50.0,chung cư mini,full,5.0,21.0001492,105.8312638
 môi giới ,2.0,2.0,83.0,chung cư thường,full cao cấp,13.0,20.9997728,105.8145324
 môi giới ,3.0,2.0,100.0,chung cư thường,cơ bản,14.0,21.0342555,105.78200670000001
 môi giới ,3.0,2.0,100.0,chung cư thường,full,14.5,21.0355672,105.79395020000001
 môi giới ,2.0,2.0,88.0,chung cư thường,full,12.0,21.0310421,105.78082930000001
 cá nhân ,1.0,1.0,40.0,chung cư thường,full cao cấp,11.0,21.0099571,105.7843298
 môi giới ,1.0,1.0,40.0,chung cư thường,unk,6.5,21.0289833,105.82976370000002
 cá nhân ,2.0,2.0,20.0,chung cư thường,unk,6.0,21.0348708,105.8103439
 môi giới ,2.0,2.0,69.5,chung cư studio,full cao cấp,6.5,21.0164183,105.94484409999998
 môi giới ,1.0,1.0,63.0,chung cư thường,cơ bản,9.0,21.0349188,105.76439750000002
 cá nhân ,1.0,1.0,30.0,chung cư mini,full,3.7,20.9985921,105.795831
 môi giới ,1.0,1.0,30.0,chung cư thường,full,3.0,21.0713471,105.79329440000001
 môi giới ,1.0,1.0,30.0,chung cư thường,full,2.7,20.9764189,105.7958105
 cá nhân ,1.0,1.0,45.0,chung cư thường,full cao cấp,5.5,21.027138,105.85903619999999
 môi giới ,1.0,1.0,35.0,chung cư studio,full,12.0,21.0304313,105.8149845
 môi giới ,3.0,2.0,102.0,chung cư thường,cơ bản,12.5,21.0310421,105.78082930000001
 môi giới ,1.0,1.0,35.0,chung cư mini,unk,4.5,21.041886399999996,105.77551580000001
 môi giới ,2.0,2.0,80.0,chung cư thường,full cao cấp,10.0,21.0575495,105.8057799
 môi giới ,1.0,1.0,35.0,chung cư thường,full,6.0,21.0323732,105.80957079999999
 môi giới ,2.0,2.0,65.0,chung cư thường,full,3.0,21.0164183,105.94484409999998
 cá nhân ,2.0,2.0,65.0,chung cư thường,full,7.5,21.008651999999998,105.854818
 môi giới ,1.0,1.0,36.0,chung cư studio,full,4.2,21.0052252,105.736722
 môi giới ,1.0,1.0,20.0,chung cư mini,unk,3.6,21.0416517,105.8052068
 môi giới ,1.0,1.0,20.0,chung cư mini,unk,2.7,21.0435739,105.77841780000001
 môi giới ,1.0,1.0,28.0,chung cư studio,unk,7.0,21.0041237,105.78195690000001
 môi giới ,2.0,2.0,66.0,chung cư thường,full cao cấp,10.0,21.0181513,105.7894426
 môi giới ,1.0,1.0,38.0,chung cư thường,unk,5.0,21.0220401,105.79774170000002
 môi giới ,3.0,2.0,99.0,chung cư thường,full,15.0,21.0442326,105.7673186
 môi giới ,2.0,2.0,80.0,chung cư thường,full,9.0,21.031007000000002,105.75989750000001
 môi giới ,2.0,1.0,50.0,chung cư thường,full,6.0,21.0309984,105.80007690000001
 môi giới ,3.0,2.0,110.0,chung cư thường,full,11.0,21.073835100000004,105.8076991
 môi giới ,1.0,1.0,40.0,chung cư thường,full,2.5,20.9875545,105.8135338
 môi giới ,2.0,2.0,75.0,chung cư thường,full,12.0,20.997594,105.8037471
